sku,size_code,size,quantity,promotion_code,list_unit_price_ex_gst,discount_ex_gst,unit_price_ex_gst,loaded_landed_cost,product_gross_margin_pct,checkout_route,configuration
FP-105,5G,5 g / ml,10000,PACK7,2.04,1428.00,1.90,1.23,35.17,online checkout,premium
FP-105,10G,10 g / ml,10000,PACK7,1.89,1323.00,1.76,1.14,35.14,online checkout,standard
FP-105,10G,10 g / ml,10000,PACK7,2.83,1981.00,2.63,1.71,35.03,online checkout,premium
FP-105,20G,20 g / ml,10000,PACK7,2.27,1589.00,2.11,1.37,35.10,online checkout,standard
FP-105,20G,20 g / ml,10000,PACK7,3.40,2380.00,3.16,2.05,35.17,online checkout,premium
FP-105,50G,50 g / ml,10000,PACK7,2.80,1960.00,2.60,1.69,35.10,online checkout,standard
FP-105,50G,50 g / ml,10000,PACK7,4.19,2933.00,3.90,2.53,35.07,online checkout,premium
FP-105,5G,5 g / ml,25000,PACK7,1.01,1767.50,0.94,0.61,35.06,online checkout,standard
FP-105,5G,5 g / ml,25000,PACK7,1.53,2677.50,1.42,0.92,35.34,online checkout,premium
FP-105,10G,10 g / ml,25000,PACK7,1.41,2467.50,1.31,0.85,35.18,online checkout,standard
FP-105,10G,10 g / ml,25000,PACK7,2.11,3692.50,1.96,1.27,35.28,payment confirmation,premium
FP-105,20G,20 g / ml,25000,PACK7,1.69,2957.50,1.57,1.02,35.10,payment confirmation,standard
FP-105,20G,20 g / ml,25000,PACK7,2.54,4445.00,2.36,1.53,35.23,payment confirmation,premium
FP-105,50G,50 g / ml,25000,PACK7,2.09,3657.50,1.94,1.26,35.18,payment confirmation,standard
FP-105,50G,50 g / ml,25000,PACK7,3.13,5477.50,2.91,1.89,35.07,payment confirmation,premium
FP-105,5G,5 g / ml,50000,PACK7,0.78,2730.00,0.73,0.47,35.21,online checkout,standard
FP-105,5G,5 g / ml,50000,PACK7,1.16,4060.00,1.08,0.70,35.11,payment confirmation,premium
FP-105,10G,10 g / ml,50000,PACK7,1.08,3780.00,1.00,0.65,35.28,payment confirmation,standard
FP-105,10G,10 g / ml,50000,PACK7,1.63,5705.00,1.52,0.98,35.35,payment confirmation,premium
FP-105,20G,20 g / ml,50000,PACK7,1.30,4550.00,1.21,0.78,35.48,payment confirmation,standard
FP-105,20G,20 g / ml,50000,PACK7,1.94,6790.00,1.80,1.17,35.15,payment confirmation,premium
FP-105,50G,50 g / ml,50000,PACK7,1.59,5565.00,1.48,0.96,35.08,payment confirmation,standard
FP-105,50G,50 g / ml,50000,PACK7,2.39,8365.00,2.22,1.44,35.21,payment confirmation,premium
